"CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org.  Please Note: CAIT data are derived from several sources. Full citations are available at http://cait.wri.org/faq.html#q07. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, ©OECD/IEA, 2014."
"Country","Year","Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e)","Total GHG Emissions Including Land-Use Change and Forestry (MtCO₂e‍)","Population (People)"
"Cook Islands","2013","0.1092","0.1092",""
"Eritrea","2013","6.6813","7.3414",""
"Nauru","2013","0.0498","0.0498",""
"Niue","2013","0.0912","0.1396",""
"Afghanistan","2013","44.4157","44.4157","30682500"
"Albania","2013","8.3078","7.9501","2896652"
"Algeria","2013","187.2679","186.8389","38186135"
"Angola","2013","155.722","270.1889","23448202"
"Antigua & Barbuda","2013","1.0993","1.1059","89985"
"Argentina","2013","334.2374","431.6378","42538304"
"Armenia","2013","8.5935","8.4468","2992192"
"Australia","2013","580.0997","514.797","23117353"
"Austria","2013","78.4743","73.5825","8479375"
"Azerbaijan","2013","69.7221","61.2476","9416801"
"Bahamas, The","2013","3.4083","3.9096","377841"
"Bahrain","2013","33.4062","33.4013","1349427"
"Bangladesh","2013","163.6298","192.7099","157157394"
"Barbados","2013","3.5448","3.5491","282503"
"Belarus","2013","90.4979","89.7962","9466000"
"Belgium","2013","113.4088","110.7801","11182817"
"Belize","2013","9.6848","13.4374","344193"
"Benin","2013","12.1686","22.9516","10322232"
"Bhutan","2013","1.4583","-2.3491","754637"
"Bolivia","2013","46.8039","132.6867","10399931"
"Bosnia & Herzegovina","2013","28.4488","28.5924","3823533"
"Botswana","2013","12.9246","68.9711","2176510"
"Brazil","2013","1017.8745","1317.2186","204259377"
"Brunei","2013","19.0151","19.3967","411499"
"Bulgaria","2013","54.8549","44.9666","7265115"
"Burkina Faso","2013","23.5054","32.6084","17084554"
"Burundi","2013","3.0465","5.578","10465959"
"Cambodia","2013","27.0972","51.6635","15078564"
"Cameroon","2013","83.2755","199.253","22211166"
"Canada","2013","738.3825","889.9015","35155499"
"Cape Verde","2013","0.6","0.4313","507258"
"Central African Republic","2013","49.2281","62.6561","4710678"
"Chad","2013","28.4407","53.712","13145788"
"Chile","2013","103.5626","-1.5988","17575833"
"China","2013","11735.0071","11422.9311","1357380000"
"Colombia","2013","159.5837","177.732","47342363"
"Comoros","2013","0.4038","0.4728","751697"
"Congo, Rep.","2013","6.9438","27.2053","4394334"
"Congo, Dem. Rep.","2013","39.559","208.3155","72552861"
"Costa Rica","2013","13.7952","2.4753","4706433"
"Cote d'Ivoire","2013","31.9607","37.7305","21622490"
"Croatia","2013","23.477","19.6343","4255689"
"Cuba","2013","46.5085","32.5458","11362505"
"Cyprus","2013","6.9364","6.632","1141652"
"Czech Republic","2013","120.9859","108.4895","10514272"
"Denmark","2013","52.8873","52.3924","5614932"
"Djibouti","2013","1.3934","1.3934","864554"
"Dominica","2013","0.2399","0.3562","72005"
"Dominican Republic","2013","33.1665","24.4508","10281408"
"Ecuador","2013","58.2656","92.1485","15661312"
"Egypt","2013","272.3785","272.16","87613909"
"El Salvador","2013","11.5955","12.3344","6089644"
"Equatorial Guinea","2013","20.7597","26.12","797082"
"Estonia","2013","23.3476","27.7347","1317997"
"Ethiopia","2013","123.3709","143.0119","94558374"
"Fiji","2013","2.7564","-0.241","880487"
"Finland","2013","63.5322","69.2618","5438972"
"France","2013","440.8485","362.0338","65972097"
"Gabon","2013","7.3587","-86.6255","1650351"
"Gambia, The","2013","7.4691","7.2328","1866878"
"Georgia","2013","14.7952","14.8012","3776000"
"Germany","2013","894.057","856.6899","82132753"
"Ghana","2013","30.8917","39.3556","26164432"
"Greece","2013","86.9692","86.2908","10965211"
"Grenada","2013","2.0022","2.0022","105902"
"Guatemala","2013","26.6116","34.6276","15690793"
"Guinea","2013","16.4436","30.5865","11948726"
"Guinea-Bissau","2013","1.9723","3.4489","1757138"
"Guyana","2013","4.0547","20.2468","761033"
"Haiti","2013","8.0637","8.2015","10431249"
"Honduras","2013","21.111","49.1607","7849059"
"Hungary","2013","56.9204","61.1609","9893082"
"Iceland","2013","2.929","2.7457","323764"
"India","2013","2909.0566","3031.3431","1279498874"
"Indonesia","2013","744.3403","2160.639","251268276"
"Iran","2013","716.8149","783.8915","77152445"
"Iraq","2013","284.5679","282.5275","34107366"
"Ireland","2013","59.2123","58.7894","4598294"
"Israel","2013","89.5907","89.5173","8059500"
"Italy","2013","420.8244","386.5439","60233948"
"Jamaica","2013","9.501","10.3015","2714669"
"Japan","2013","1353.3473","1360.8213","127338621"
"Jordan","2013","30.8217","30.8217","7214832"
"Kazakhstan","2013","313.7248","313.8008","17035275"
"Kenya","2013","60.1371","28.9563","43692881"
"Kiribati","2013","0.0844","0.0787","108544"
"Korea, Dem. Rep. (North)","2013","63.8065","77.9596","24895705"
"Korea, Rep. (South)","2013","673.5412","633.9432","50219669"
"Kuwait","2013","195.7803","195.7649","3593689"
"Kyrgyzstan","2013","15.4959","14.702","5719600"
"Laos","2013","11.4916","29.9579","6579985"
"Latvia","2013","12.6443","1.7988","2012647"
"Lebanon","2013","26.9435","26.9391","5286990"
"Lesotho","2013","4.2026","4.0066","2083061"
"Liberia","2013","2.1519","3.4958","4293692"
"Libya","2013","133.0112","133.0112","6265987"
"Lithuania","2013","19.3235","19.7906","2957689"
"Luxembourg","2013","11.2914","11.295","543360"
"Macedonia, FYR","2013","12.065","12.065","2072543"
"Madagascar","2013","26.4428","50.681","22924557"
"Malawi","2013","10.126","14.4533","16190126"
"Malaysia","2013","303.1518","163.2439","29465372"
"Maldives","2013","1.136","1.1384","393000"
"Mali","2013","29.1982","36.3235","16592097"
"Malta","2013","2.9785","2.9785","423374"
"Mauritania","2013","11.1908","9.6728","3872684"
"Mauritius","2013","5.6704","5.6557","1258653"
"Mexico","2013","733.0104","742.0047","123740109"
"Moldova","2013","11.4641","10.3762","3558566"
"Mongolia","2013","38.6367","63.4733","2859174"
"Montenegro","2013","3.3881","3.4532","621207"
"Morocco","2013","78.8839","77.4173","33452686"
"Mozambique","2013","27.4629","66.7159","26467180"
"Myanmar","2013","98.7527","201.4506","52983829"
"Namibia","2013","11.2817","20.8262","2346592"
"Nepal","2013","36.0311","42.2982","27834981"
"Netherlands","2013","186.7775","187.9375","16804432"
"New Zealand","2013","75.0919","59.6913","4442100"
"Nicaragua","2013","14.0877","14.2545","5945646"
"Niger","2013","26.6106","28.2453","18358863"
"Nigeria","2013","304.0637","491.5021","172816517"
"Norway","2013","46.5925","24.6415","5079623"
"Oman","2013","101.7895","101.7845","3906912"
"Pakistan","2013","326.774","355.374","181192646"
"Palau","2013","0.3576","0.3576","20919"
"Panama","2013","17.0885","25.6866","3805683"
"Papua New Guinea","2013","16.4336","70.8548","7308864"
"Paraguay","2013","37.5747","181.5132","6465669"
"Peru","2013","86.2102","158.255","30565461"
"Philippines","2013","171.6044","111.285","97571676"
"Poland","2013","361.1905","336.0828","38040196"
"Portugal","2013","62.0311","63.9066","10457295"
"Qatar","2013","82.8463","82.8463","2101288"
"Romania","2013","109.4851","-54.1302","19983693"
"Russian Federation","2013","2199.1173","2075.9731","143506911"
"Rwanda","2013","6.6307","7.5552","11078095"
"Saint Kitts & Nevis","2013","0.4262","0.4336","54301"
"Saint Lucia","2013","1.133","1.1663","182305"
"Saint Vincent & Grenadines","2013","0.2753","0.2935","109327"
"Samoa","2013","0.5099","0.5099","190390"
"Sao Tome & Principe","2013","0.1887","0.1887","182386"
"Saudi Arabia","2013","546.8181","546.8181","30201051"
"Senegal","2013","25.4859","30.7839","14221041"
"Serbia","2013","59.0182","57.7013","7164132"
"Seychelles","2013","0.7113","0.7113","89900"
"Sierra Leone","2013","6.7302","12.7256","6178859"
"Singapore","2013","52.9509","52.9949","5399162"
"Slovakia","2013","40.3202","35.2299","5413393"
"Slovenia","2013","18.0226","11.7779","2059953"
"Solomon Islands","2013","0.5595","2.5395","560685"
"South Africa","2013","510.2377","512.2468","53192216"
"Spain","2013","306.6117","273.5208","46620045"
"Sri Lanka","2013","38.3764","42.8268","20579000"
"Sudan","2013","","","38515095"
"Suriname","2013","3.3542","8.1618","533450"
"Swaziland","2013","2.8598","3.1485","1250641"
"Sweden","2013","50.8451","46.589","9600379"
"Switzerland","2013","51.5705","50.0182","8089346"
"Syria","2013","65.8195","64.6071","19322593"
"Tajikistan","2013","10.2444","10.2444","8111894"
"Tanzania","2013","77.9457","287.1165","50213457"
"Thailand","2013","369.431","384.3715","67451422"
"Togo","2013","6.5823","13.1578","6928719"
"Tonga","2013","0.4116","0.4116","105139"
"Trinidad & Tobago","2013","25.8122","25.3117","1348240"
"Tunisia","2013","35.6478","35.3625","10886500"
"Turkey","2013","408.4574","343.6004","76223639"
"Turkmenistan","2013","112.285","112.286","5240088"
"Uganda","2013","33.3506","60.6595","36573387"
"Ukraine","2013","375.667","370.2195","45489600"
"United Arab Emirates","2013","221.4243","221.2117","9039978"
"United Kingdom","2013","546.2641","534.0763","64128226"
"United States","2013","6279.8362","6213.2667","316427395"
"Uruguay","2013","34.0277","23.515","3407969"
"Uzbekistan","2013","225.7986","209.383","30243200"
"Vanuatu","2013","0.6735","0.6595","253165"
"Venezuela","2013","268.4274","339.365","30276045"
"Vietnam","2013","256.7606","239.0915","89759500"
"Yemen","2013","35.502","35.502","25533217"
"Zambia","2013","50.1033","390.1703","15246086"
"Zimbabwe","2013","27.4014","63.4937","14898092"
"World","2013","45261.2517","48257.297","7176092192"
"European Union (15)","2013","3374.0348","3173.6898","402772136"
"European Union (28)","2013","4224.5217","3795.8362","503795199"
